Date;Calf;Behaviour;Interaction;IDs
28/08/2009 08:47;0;P;N;3L 38L
28/08/2009 10:56;0;DP;N;48L 50L
28/08/2009 11:06;0;DP;N;42L 43L
28/08/2009 11:33;1;DP;N;4L 18L
28/08/2009 11:45;1;P;N;37L 40L
04/09/2009 07:49;0;P;N;4L 24L 48L
04/09/2009 08:11;1;DP;N;10L 33L
04/09/2009 10:54;1;P;N;38L 42L
04/09/2009 11:02;0;P;N;17L 20L
04/09/2009 13:00;0;P;S;15L 39L 6L 37L
14/09/2009 12:59;1;P;N;12L 52L 39L
14/09/2009 13:16;1;P;N;16L 24L 41L 15L
14/09/2009 14:04;0;P;N;28L 29L
14/09/2009 17:31;0;DP;N;4L 50L
15/09/2009 11:05;0;P;N;34L 48L
15/09/2009 12:04;0;P;N;3L 52L
15/09/2009 13:01;0;P;N;42L 39L 38L
15/09/2009 13:34;0;D;N;28L 7L 33L
15/09/2009 13:45;0;P;S;20L 40L 4L 16L 11L
20/09/2009 07:32;1;P;S;12L 2L 14L 41L 24L 49L
20/09/2009 08:15;2;P;N;31L 43L 27L 42L
20/09/2009 08:29;2;P;N;33L 28L 8L
20/09/2009 09:29;0;P;N;28L 40L
20/09/2009 12:56;0;P;N;27L 39L 42L
20/09/2009 13:11;0;P;S;7L 15L
24/10/2009 07:23;0;P;N;2L
24/10/2009 07:56;0;D;N;6L 32L
24/10/2009 08:13;0;D;N;34L 48L
24/10/2009 08:33;0;P;N;43L 50L
24/10/2009 08:57;0;DP;N;17L 22L
24/10/2009 09:21;0;P;N;3L 39L 42L 43L
24/10/2009 10:17;0;D;N;6L 32L
